wkt;Tilex;TileY;TileZ;URL"""POLYGON ((-122.369155883789 37.7278233649634 0,-122.368469238281 37.7278233649634 0,-122.368469238281 37.72728027686 0,-122.369155883789 37.72728027686 0,-122.369155883789 37.7278233649634 0))""";83931;202735;19;https://b.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83931/202735.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.369155883789 37.72728027686 0,-122.368469238281 37.72728027686 0,-122.368469238281 37.7267371847741 0,-122.369155883789 37.7267371847741 0,-122.369155883789 37.72728027686 0))""";83931;202736;19;https://d.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83931/202736.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.369155883789 37.7283664490841 0,-122.368469238281 37.7283664490841 0,-122.368469238281 37.7278233649634 0,-122.369155883789 37.7278233649634 0,-122.369155883789 37.7283664490841 0))""";83931;202734;19;https://b.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83931/202734.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.367095947266 37.7278233649634 0,-122.366409301758 37.7278233649634 0,-122.366409301758 37.72728027686 0,-122.367095947266 37.72728027686 0,-122.367095947266 37.7278233649634 0))""";83934;202735;19;https://d.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83934/202735.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.367095947266 37.72728027686 0,-122.366409301758 37.72728027686 0,-122.366409301758 37.7267371847741 0,-122.367095947266 37.7267371847741 0,-122.367095947266 37.72728027686 0))""";83934;202736;19;https://b.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83934/202736.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.368469238281 37.7278233649634 0,-122.367782592773 37.7278233649634 0,-122.367782592773 37.72728027686 0,-122.368469238281 37.72728027686 0,-122.368469238281 37.7278233649634 0))""";83932;202735;19;https://b.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83932/202735.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.368469238281 37.72728027686 0,-122.367782592773 37.72728027686 0,-122.367782592773 37.7267371847741 0,-122.368469238281 37.7267371847741 0,-122.368469238281 37.72728027686 0))""";83932;202736;19;https://a.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83932/202736.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.368469238281 37.7283664490841 0,-122.367782592773 37.7283664490841 0,-122.367782592773 37.7278233649634 0,-122.368469238281 37.7278233649634 0,-122.368469238281 37.7283664490841 0))""";83932;202734;19;https://d.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83932/202734.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.368469238281 37.7267371847741 0,-122.367782592773 37.7267371847741 0,-122.367782592773 37.7261940887056 0,-122.368469238281 37.7261940887056 0,-122.368469238281 37.7267371847741 0))""";83932;202737;19;https://a.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83932/202737.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.367782592773 37.7278233649634 0,-122.367095947266 37.7278233649634 0,-122.367095947266 37.72728027686 0,-122.367782592773 37.72728027686 0,-122.367782592773 37.7278233649634 0))""";83933;202735;19;https://c.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83933/202735.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.367782592773 37.72728027686 0,-122.367095947266 37.72728027686 0,-122.367095947266 37.7267371847741 0,-122.367782592773 37.7267371847741 0,-122.367782592773 37.72728027686 0))""";83933;202736;19;https://d.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83933/202736.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.367782592773 37.7283664490841 0,-122.367095947266 37.7283664490841 0,-122.367095947266 37.7278233649634 0,-122.367782592773 37.7278233649634 0,-122.367782592773 37.7283664490841 0))""";83933;202734;19;https://d.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83933/202734.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.367782592773 37.7267371847741 0,-122.367095947266 37.7267371847741 0,-122.367095947266 37.7261940887056 0,-122.367782592773 37.7261940887056 0,-122.367782592773 37.7267371847741 0))""";83933;202737;19;https://c.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/19/83933/202737.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.371215820312 37.731624870173 0,-122.36572265625 37.731624870173 0,-122.36572265625 37.72728027686 0,-122.371215820312 37.72728027686 0,-122.371215820312 37.731624870173 0))""";10491;25341;16;https://d.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/16/10491/25341.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.371215820312 37.72728027686 0,-122.36572265625 37.72728027686 0,-122.36572265625 37.7229354286617 0,-122.371215820312 37.7229354286617 0,-122.371215820312 37.72728027686 0))""";10491;25342;16;https://b.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/16/10491/25342.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.368469238281 37.72728027686 0,-122.367095947266 37.72728027686 0,-122.367095947266 37.7261940887056 0,-122.368469238281 37.7261940887056 0,-122.368469238281 37.72728027686 0))""";41966;101368;18;https://d.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/18/41966/101368.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
"""POLYGON ((-122.368469238281 37.7283664490841 0,-122.367095947266 37.7283664490841 0,-122.367095947266 37.72728027686 0,-122.368469238281 37.72728027686 0,-122.368469238281 37.7283664490841 0))""";41966;101367;18;https://b.tiles.mapbox.com/v4/digitalglobe.0a8e44ba/18/41966/101367.png?access_token=pk.eyJ1IjoiZGlnaXRhbGdsb2JlIiwiYSI6ImNqZGFrZ3pjczNpaHYycXFyMGo0djY3N2IifQ.90uebT4-ow1uqZKTUrf6RQ
